county,city,name,img,building_site,date_start,date_end,floors,tags,owner_developer,trump_status
Canada,Toronto,Ultima at Broadway,../skyscraperpage.com/diagrams/images/56932.gif,http://skyscraperpage.com/cities/?buildingID=18604,null,2006,36,"Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξaluminiumξ-ξconcrete, reinforced",Menkes Developments,
Canada,Toronto,Equinox East,../skyscraperpage.com/diagrams/images/56860.gif,http://skyscraperpage.com/cities/?buildingID=18571,2003,2005,37,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξconcrete,Monarch Construction,
Canada,Toronto,Equinox West,../skyscraperpage.com/diagrams/images/56827.gif,http://skyscraperpage.com/cities/?buildingID=18587,null,2005,37,Building Usesξ-ξresidential; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξconcrete,Monarch Construction,
Canada,Toronto,Milan Residences,../skyscraperpage.com/diagrams/images/55687.gif,http://skyscraperpage.com/cities/?buildingID=51971,2010,2016,37,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξmodern; Materialsξ-ξglassξ-ξsteel,The Conservatory Group,
Canada,Toronto,Axis,../skyscraperpage.com/diagrams/images/86866.gif,http://skyscraperpage.com/cities/?buildingID=106922,null,null,38,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise,Centre Court Developments,
Canada,Toronto,Luna Vista,../skyscraperpage.com/diagrams/images/61291.gif,http://skyscraperpage.com/cities/?buildingID=46218,2006,2010,38,Building Usesξ-ξresidential; Structural Typesξ-ξhighrise; Architectural Styleξ-ξmodern; Materialsξ-ξglassξ-ξaluminiumξ-ξconcrete,Concord Adex Developments,
Canada,Toronto,Neptune South,../skyscraperpage.com/diagrams/images/6914.gif,http://skyscraperpage.com/cities/?buildingID=6916,2007,2011,38,Building Usesξ-ξresidential; Structural Typesξ-ξhighrise; Architectural Styleξ-ξmodern; Materialsξ-ξglassξ-ξconcrete,Lanterra Developments,
Canada,Toronto,18 Yonge,../skyscraperpage.com/diagrams/images/62181.gif,http://skyscraperpage.com/cities/?buildingID=8635,2003,2006,39,Building Usesξ-ξresidentialξ-ξparking garageξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξaluminiumξ-ξconcrete,Lanterra Developments,
Canada,Toronto,Encore at Equinox,../skyscraperpage.com/diagrams/images/56965.gif,http://skyscraperpage.com/cities/?buildingID=46224,2010,2013,39,Building Usesξ-ξresidential; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξconcrete,Monarch Construction,
Canada,Toronto,Nautilus,../skyscraperpage.com/diagrams/images/77205.gif,http://skyscraperpage.com/cities/?buildingID=42369,null,2012,39,"Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξconcrete, reinforced",Monarch Construction,
Canada,Toronto,Verve,../skyscraperpage.com/diagrams/images/54802.gif,http://skyscraperpage.com/cities/?buildingID=18589,2006,2008,39,Building Usesξ-ξresidential; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξaluminiumξ-ξconcrete,Tridel Corporation,
Canada,Toronto,Harbourview Estates I,../skyscraperpage.com/diagrams/images/87584.gif,http://skyscraperpage.com/cities/?buildingID=5746,null,2005,40,Building Usesξ-ξresidentialξ-ξretail; Structural Typesξ-ξhighrise; Architectural Styleξ-ξpostmodern; Materialsξ-ξglassξ-ξaluminiumξ-ξconcrete,Concord Adex Developments,
