country,city,name,img,building_page-href,date_start,date_end,floors,tags,developer
United States,Chicago,Legacy at Millennium Park,../skyscraperpage.com/diagrams/images/59221.gif,http://skyscraperpage.com/cities/?buildingID=36058,2007,2010,71,Building Uses - residential - parking garage - retail: Structural Types - highrise: Architectural Style - modern: Materials - glass - steel - concrete,
United States,Chicago,300 North LaSalle,../skyscraperpage.com/diagrams/images/58166.gif,http://skyscraperpage.com/cities/?buildingID=40619,2006,2009,60,Building Uses - office - parking garage: Structural Types - highrise: Architectural Style - postmodern,
United States,Chicago,Three First National Plaza,../skyscraperpage.com/diagrams/images/17613.gif,http://skyscraperpage.com/cities/?buildingID=211,null,1981,57,Building Uses - office: Structural Types - highrise: Architectural Style - modern: Materials - glass - steel - granite - concrete,
United States,Chicago,Chicago Title & Trust Building,../skyscraperpage.com/diagrams/images/17773.gif,http://skyscraperpage.com/cities/?buildingID=212,1990,1992,50,Building Uses - office: Structural Types - highrise: Architectural Style - postmodern: Materials - aluminium - granite,
United States,Chicago,Blue Cross-Blue Shield Tower,../skyscraperpage.com/diagrams/images/60933.gif,http://skyscraperpage.com/cities/?buildingID=6375,1995,2010,54,Building Uses - office - parking garage: Structural Types - highrise: Architectural Style - modern: Materials - glass - steel,
United States,Chicago,200 North Riverside Plaza,../skyscraperpage.com/diagrams/images/49786.gif,http://skyscraperpage.com/cities/?buildingID=68558,2013,2017,50,Building Uses - office - parking garage - restaurant - retail: Structural Types - highrise: Architectural Style - modern,
United States,Chicago,One Museum Park,../skyscraperpage.com/diagrams/images/55594.gif,http://skyscraperpage.com/cities/?buildingID=35956,2005,2009,62,Building Uses - residential - parking garage: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel,
United States,Chicago,Olympia Centre,../skyscraperpage.com/diagrams/images/55443.gif,http://skyscraperpage.com/cities/?buildingID=213,1981,1986,63,Building Uses - mixed use - office - residential - retail: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel - granite - concrete: reinforced,
United States,Chicago,150 North Riverside,../skyscraperpage.com/diagrams/images/74077.gif,http://skyscraperpage.com/cities/?buildingID=99974,2014,2017,53,Building Uses - office - garden - parking garage: Structural Types - highrise - narrow base: Architectural Style - modern,
United States,Chicago,IBM Building,../skyscraperpage.com/diagrams/images/76377.gif,http://skyscraperpage.com/cities/?buildingID=4033,1971,1973,52,Building Uses - mixed use - hotel - office: Structural Types - highrise: Architectural Style - international: Materials - glass,
United States,Chicago,Elysian,../skyscraperpage.com/diagrams/images/60888.gif,http://skyscraperpage.com/cities/?buildingID=32997,2006,2010,60,Building Uses - mixed use - hotel - parking garage - residential - restaurant - fitness center: Structural Types - highrise: Architectural Style - neo-classical - postmodern - renaissance revival: Materials - glass - steel - concrete: reinforced,
United States,Chicago,111 South Wacker,../skyscraperpage.com/diagrams/images/58176.gif,http://skyscraperpage.com/cities/?buildingID=8585,2003,2005,52,Building Uses - office - parking garage: Structural Types - highrise: Architectural Style - modern: Materials - glass - steel - concrete,
United States,Chicago,181 West Madison,../skyscraperpage.com/diagrams/images/55896.gif,http://skyscraperpage.com/cities/?buildingID=214,1988,1990,50,Building Uses - office: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel - granite,
United States,Chicago,Hyatt Center,../skyscraperpage.com/diagrams/images/58168.gif,http://skyscraperpage.com/cities/?buildingID=7703,2002,2005,48,Building Uses - office - parking garage - retail: Structural Types - highrise: Architectural Style - modern: Materials - glass - steel - concrete,
